Tempo Bola_ax Bola_ay Robo_ax Robo_ay
0.00 -0.015000 -0.016000 -0.040614 -0.091381
0.02 -0.015000 -0.016000 -0.040504 -0.091430
0.04 -0.015000 -0.016000 -0.040394 -0.091478
0.06 -0.015000 -0.016000 -0.040283 -0.091527
0.08 -0.015000 -0.016000 -0.040172 -0.091576
0.10 -0.015000 -0.016000 -0.040060 -0.091625
0.12 -0.015000 -0.016000 -0.039947 -0.091675
0.14 -0.015000 -0.016000 -0.039833 -0.091724
0.16 -0.015000 -0.016000 -0.039719 -0.091774
0.18 -0.015000 -0.016000 -0.039603 -0.091824
0.20 -0.015000 -0.016000 -0.039486 -0.091874
0.22 -0.015000 -0.016000 -0.039368 -0.091925
0.24 -0.015000 -0.016000 -0.039249 -0.091976
0.26 -0.015000 -0.016000 -0.039119 -0.092031
0.28 -0.015000 -0.016000 -0.038996 -0.092083
0.30 -0.015000 -0.016000 -0.038870 -0.092136
0.32 -0.015000 -0.016000 -0.038760 -0.092183
0.34 -0.015000 -0.016000 -0.038628 -0.092238
0.36 -0.015000 -0.016000 -0.038491 -0.092295
0.38 -0.015000 -0.016000 -0.038349 -0.092354
0.40 -0.015000 -0.016000 -0.038201 -0.092416
0.42 -0.015000 -0.016000 -0.038044 -0.092481
0.44 -0.015000 -0.016000 -0.037867 -0.092553
0.46 -0.015000 -0.016000 -0.037688 -0.092626
0.48 -0.015000 -0.016000 -0.037491 -0.092706
0.50 -0.015000 -0.016000 -0.037271 -0.092795
0.52 -0.015000 -0.016000 -0.037017 -0.092896
0.54 -0.015000 -0.016000 -0.036713 -0.093017
0.56 -0.015000 -0.016000 -0.036356 -0.093157
0.58 -0.015000 -0.016000 -0.035789 -0.093376
0.60 -0.015000 -0.016000 -0.034672 -0.093797
