. Bola  Robo
1.000000 0.500000 8.987639 5.991502
1.010000 0.508000 8.974783 5.982665
1.020000 0.516000 8.961432 5.973490
1.030000 0.524000 8.947586 5.963977
1.040000 0.532000 8.933243 5.954124
1.050000 0.540000 8.918406 5.943934
1.060000 0.548000 8.903072 5.933406
1.070000 0.556000 8.887243 5.922539
1.080000 0.564000 8.870919 5.911334
1.090000 0.572000 8.854098 5.899792
1.100000 0.580000 8.836782 5.887912
1.110000 0.588000 8.818969 5.875694
1.120000 0.596000 8.800661 5.863139
1.130000 0.603000 8.781857 5.850244
1.140000 0.611000 8.762557 5.837012
1.150000 0.619000 8.742761 5.823443
1.159000 0.627000 8.722468 5.809538
1.169000 0.635000 8.701679 5.795296
1.179000 0.643000 8.680393 5.780717
1.189000 0.651000 8.658610 5.765802
1.199000 0.659000 8.636331 5.750549
1.209000 0.667000 8.613555 5.734961
1.219000 0.674000 8.590283 5.719033
1.229000 0.682000 8.566515 5.702770
1.239000 0.690000 8.542250 5.686170
1.249000 0.698000 8.517487 5.669234
1.259000 0.706000 8.492228 5.651962
1.269000 0.714000 8.466471 5.634354
1.278000 0.721000 8.440218 5.616409
1.288000 0.729000 8.413467 5.598130
1.298000 0.737000 8.386219 5.579514
1.308000 0.745000 8.358473 5.560563
1.318000 0.753000 8.330230 5.541277
1.328000 0.761000 8.301488 5.521656
1.338000 0.768000 8.272251 5.501698
1.348000 0.776000 8.242516 5.481404
1.357000 0.784000 8.212282 5.460778
1.367000 0.792000 8.181550 5.439817
1.377000 0.799000 8.150321 5.418518
1.387000 0.807000 8.118594 5.396886
1.397000 0.815000 8.086369 5.374919
1.407000 0.823000 8.053646 5.352618
1.416000 0.830000 8.020424 5.329982
1.426000 0.838000 7.986704 5.307013
1.436000 0.846000 7.952485 5.283710
1.446000 0.854000 7.917767 5.260074
1.456000 0.861000 7.882553 5.236100
1.466000 0.869000 7.846840 5.211794
1.475000 0.877000 7.810626 5.187157
1.485000 0.884000 7.773915 5.162184
1.495000 0.892000 7.736705 5.136878
1.505000 0.900000 7.698995 5.111239
1.515000 0.907000 7.660788 5.085264
1.524000 0.915000 7.622080 5.058960
1.534000 0.923000 7.582872 5.032324
1.544000 0.930000 7.543167 5.005351
1.554000 0.938000 7.502962 4.978047
1.564000 0.946000 7.462257 4.950412
1.573000 0.953000 7.421052 4.922444
1.583000 0.961000 7.379347 4.894145
1.593000 0.968000 7.337145 4.865510
1.603000 0.976000 7.294442 4.836544
1.612000 0.984000 7.251235 4.807251
1.622000 0.991000 7.207532 4.777623
1.632000 0.999000 7.163327 4.747665
1.642000 1.006000 7.118625 4.717371
1.651000 1.014000 7.073418 4.686752
1.661000 1.022000 7.027710 4.655803
1.671000 1.029000 6.981505 4.624519
1.680000 1.037000 6.934795 4.592910
1.690000 1.044000 6.887586 4.560967
1.700000 1.052000 6.839876 4.528695
1.710000 1.059000 6.791668 4.496088
1.719000 1.067000 6.742954 4.463158
1.729000 1.074000 6.693742 4.429893
1.739000 1.082000 6.644027 4.396301
1.748000 1.090000 6.593806 4.362386
1.758000 1.097000 6.555683 4.336644
1.768000 1.105000 6.517556 4.310909
1.778000 1.112000 6.479428 4.285174
1.787000 1.120000 6.441292 4.259451
1.797000 1.127000 6.403156 4.233729
1.807000 1.134000 6.365019 4.208009
1.816000 1.142000 6.326874 4.182299
1.826000 1.149000 6.288728 4.156591
1.836000 1.157000 6.250577 4.130891
1.845000 1.164000 6.212423 4.105196
1.855000 1.172000 6.174263 4.079509
1.865000 1.179000 6.136102 4.053823
1.874000 1.187000 6.097933 4.028150
1.884000 1.194000 6.059763 4.002478
1.893000 1.202000 6.021585 3.976818
1.903000 1.209000 5.983405 3.951160
1.913000 1.216000 5.945224 3.925504
1.922000 1.224000 5.907035 3.899861
1.932000 1.231000 5.868845 3.874220
1.942000 1.239000 5.830648 3.848587
1.951000 1.246000 5.792447 3.822961
1.961000 1.253000 5.754245 3.797336
1.970000 1.261000 5.716034 3.771726
1.980000 1.268000 5.677821 3.746117
1.990000 1.275000 5.639607 3.720511
1.999000 1.283000 5.601384 3.694919
2.009000 1.290000 5.563159 3.669329
2.018000 1.297000 5.524929 3.643747
2.028000 1.305000 5.486692 3.618174
2.038000 1.312000 5.448454 3.592604
2.047000 1.319000 5.410210 3.567041
2.057000 1.327000 5.371960 3.541489
2.066000 1.334000 5.333705 3.515945
2.076000 1.341000 5.295447 3.490403
2.085000 1.349000 5.257179 3.464878
2.095000 1.356000 5.218909 3.439355
2.104000 1.363000 5.180633 3.413841
2.114000 1.370000 5.142356 3.388330
2.124000 1.378000 5.104070 3.362830
2.133000 1.385000 5.065779 3.337340
2.143000 1.392000 5.027485 3.311852
2.152000 1.399000 4.989185 3.286374
2.162000 1.407000 4.950877 3.260909
2.171000 1.414000 4.912563 3.235453
2.181000 1.421000 4.874246 3.210001
2.190000 1.428000 4.835922 3.184559
2.200000 1.436000 4.797589 3.159131
2.209000 1.443000 4.759250 3.133713
2.219000 1.450000 4.720907 3.108299
2.228000 1.457000 4.682558 3.082896
2.238000 1.464000 4.644205 3.057498
2.247000 1.472000 4.605838 3.032122
2.257000 1.479000 4.567467 3.006750
2.266000 1.486000 4.529089 2.981391
2.276000 1.493000 4.490708 2.956036
2.285000 1.500000 4.452318 2.930694
2.295000 1.507000 4.413925 2.905357
2.304000 1.515000 4.375514 2.880046
2.314000 1.522000 4.337100 2.854740
2.323000 1.529000 4.298677 2.829449
2.332000 1.536000 4.260244 2.804172
2.342000 1.543000 4.221807 2.778902
2.351000 1.550000 4.183360 2.753646
2.361000 1.557000 4.144909 2.728397
2.370000 1.564000 4.106447 2.703165
2.380000 1.571000 4.067980 2.677940
2.389000 1.579000 4.029492 2.652748
2.399000 1.586000 3.990998 2.627563
2.408000 1.593000 3.952492 2.602398
2.417000 1.600000 3.913974 2.577252
2.427000 1.607000 3.875449 2.552115
2.436000 1.614000 3.836911 2.526999
2.446000 1.621000 3.798367 2.501893
2.455000 1.628000 3.759808 2.476809
2.464000 1.635000 3.721233 2.451749
2.474000 1.642000 3.682651 2.426700
2.483000 1.649000 3.644052 2.401678
2.493000 1.656000 3.605446 2.376668
2.502000 1.663000 3.566820 2.351686
2.511000 1.670000 3.528175 2.326735
2.521000 1.677000 3.489520 2.301799
2.530000 1.684000 3.450844 2.276896
2.539000 1.691000 3.412144 2.252030
2.549000 1.698000 3.373433 2.227182
2.558000 1.705000 3.334695 2.202375
2.568000 1.712000 3.295943 2.177590
2.577000 1.719000 3.257161 2.152852
2.586000 1.726000 3.218346 2.128166
2.596000 1.733000 3.179513 2.103509
2.605000 1.740000 3.140641 2.078913
2.614000 1.747000 3.101725 2.054387
2.624000 1.754000 3.062783 2.029901
2.633000 1.761000 3.023787 2.005502
2.642000 1.768000 2.984728 1.981204
2.652000 1.774000 2.945681 1.956888
2.661000 1.781000 2.906547 1.932710
2.670000 1.788000 2.867308 1.908704
2.679000 1.795000 2.827929 1.884927
2.689000 1.802000 2.788431 1.861350
