Tempo Distancia
0.00 9.693244
0.02 9.664871
0.04 9.635899
0.06 9.606326
0.08 9.576154
0.10 9.545382
0.12 9.514010
0.14 9.482038
0.16 9.449466
0.18 9.416294
0.20 9.382522
0.22 9.348150
0.24 9.313179
0.26 9.278173
0.28 9.242001
0.30 9.205230
0.32 9.168683
0.34 9.130712
0.36 9.092141
0.38 9.052970
0.40 9.013199
0.42 8.972829
0.44 8.932423
0.46 8.890852
0.48 8.848682
0.50 8.805911
0.52 8.762541
0.54 8.718571
0.56 8.675390
0.58 8.630220
0.60 8.584450
0.62 8.538081
0.64 8.491111
0.66 8.443541
0.68 8.395936
0.70 8.347166
0.72 8.298623
0.74 8.248654
0.76 8.198648
0.78 8.147479
0.80 8.095710
0.82 8.043341
0.84 7.991762
0.86 7.938193
0.88 7.884025
0.90 7.829257
0.92 7.774451
0.94 7.718483
0.96 7.662742
0.98 7.606136
1.00 7.548368
1.02 7.490001
1.04 7.431595
1.06 7.372855
1.08 7.312687
1.10 7.252482
1.12 7.191115
1.14 7.129148
1.16 7.067970
1.18 7.004803
1.20 6.941598
1.22 6.877231
1.24 6.813092
1.26 6.748087
1.28 6.681921
1.30 6.615715
1.32 6.549177
1.34 6.481212
1.36 6.413206
1.38 6.344869
1.40 6.275664
1.42 6.205299
1.44 6.134894
1.46 6.064157
1.48 5.992552
1.50 5.919787
1.52 5.847251
1.54 5.789046
1.56 5.730282
1.58 5.672077
1.60 5.614142
1.62 5.555937
1.64 5.497733
1.66 5.439798
1.68 5.381593
1.70 5.322830
1.72 5.265455
1.74 5.206692
1.76 5.148487
1.78 5.090554
1.80 5.032350
1.82 4.974417
1.84 4.916213
1.86 4.858009
1.88 4.800077
1.90 4.741873
1.92 4.683111
1.94 4.625737
1.96 4.567533
1.98 4.509603
2.00 4.451399
2.02 4.393195
2.04 4.335265
2.06 4.277061
2.08 4.219688
2.10 4.160928
2.12 4.102724
2.14 4.045352
2.16 3.986593
2.18 3.929221
2.20 3.871017
2.22 3.813090
2.24 3.754887
2.26 3.697515
2.28 3.639312
2.30 3.580554
2.32 3.523183
2.34 3.464980
2.36 3.407610
2.38 3.348853
2.40 3.291483
2.42 3.233280
2.44 3.175910
2.46 3.117154
2.48 3.059785
2.50 3.001582
2.52 2.944213
2.54 2.886011
2.56 2.828090
2.58 2.769888
2.60 2.712520
2.62 2.654318
2.64 2.596950
2.66 2.538748
2.68 2.480831
2.70 2.422629
2.72 2.365263
2.74 2.307896
2.76 2.249695
2.78 2.192329
2.80 2.134128
2.82 2.076763
2.84 2.018562
2.86 1.960650
2.88 1.902449
2.90 1.845086
2.92 1.787723
2.94 1.729523
2.96 1.672160
2.98 1.613960
3.00 1.556599
3.02 1.499238
3.04 1.441039
3.06 1.383679
3.08 1.325480
3.10 1.268121
3.12 1.210763
3.14 1.152565
3.16 1.095208
3.18 1.037851
3.20 0.979655
3.22 0.922300
3.24 0.864104
3.26 0.806751
3.28 0.749399
3.30 0.691205
3.32 0.633856
3.34 0.576509
3.36 0.518317
3.38 0.460973
3.40 0.403632
3.42 0.345971
3.44 0.288633
3.46 0.231300
3.48 0.173974
3.50 0.115797
