Tempo Bola_vx Bola_vy Robo_vx Robo_vy
0.00 0.500000 0.400000 -0.024721 -0.016996
0.02 0.499700 0.399680 -0.049446 -0.033987
0.04 0.499400 0.399360 -0.074174 -0.050973
0.06 0.499100 0.399040 -0.098905 -0.067955
0.08 0.498800 0.398720 -0.123639 -0.084932
0.10 0.498500 0.398400 -0.148377 -0.101904
0.12 0.498200 0.398080 -0.173118 -0.118871
0.14 0.497900 0.397760 -0.197862 -0.135833
0.16 0.497600 0.397440 -0.222610 -0.152790
0.18 0.497300 0.397120 -0.247362 -0.169742
0.20 0.497000 0.396800 -0.272116 -0.186689
0.22 0.496700 0.396480 -0.296875 -0.203631
0.24 0.496400 0.396160 -0.321636 -0.220567
0.26 0.496100 0.395840 -0.346381 -0.237530
0.28 0.495800 0.395520 -0.371148 -0.254458
0.30 0.495500 0.395200 -0.395919 -0.271382
0.32 0.495200 0.394880 -0.420711 -0.288274
0.34 0.494900 0.394560 -0.445491 -0.305185
0.36 0.494600 0.394240 -0.470274 -0.322091
0.38 0.494300 0.393920 -0.495060 -0.338992
0.40 0.494000 0.393600 -0.519851 -0.355887
0.42 0.493700 0.393280 -0.544645 -0.372776
0.44 0.493400 0.392960 -0.569407 -0.389712
0.46 0.493100 0.392640 -0.594207 -0.406593
0.48 0.492800 0.392320 -0.619012 -0.423467
0.50 0.492500 0.392000 -0.643820 -0.440336
0.52 0.492200 0.391680 -0.668632 -0.457199
0.54 0.491900 0.391360 -0.693448 -0.474057
0.56 0.491600 0.391040 -0.718254 -0.490930
0.58 0.491300 0.390720 -0.743077 -0.507776
0.60 0.491000 0.390400 -0.767905 -0.524616
0.62 0.490700 0.390080 -0.792737 -0.541450
0.64 0.490400 0.389760 -0.817574 -0.558277
0.66 0.490100 0.389440 -0.842414 -0.575099
0.68 0.489800 0.389120 -0.867201 -0.591999
0.70 0.489500 0.388800 -0.892049 -0.608810
0.72 0.489200 0.388480 -0.916943 -0.625552
0.74 0.488900 0.388160 -0.941801 -0.642349
0.76 0.488600 0.387840 -0.966597 -0.659235
